bin,source,seed,expert,n,predicted_reliability,observed_accuracy
5.0,Te0,46,temporal,4597,0.998721637183217,0.9991298673047639
6.0,Te0,46,temporal,4597,0.9989417132941597,0.999782466826191
7.0,Te0,46,temporal,4597,0.9990951221730843,0.999782466826191
8.0,Te0,46,temporal,4597,0.9992161940904523,1.0
9.0,Te0,46,temporal,4597,0.9993924228267551,1.0
0.0,Te0,46,cwt,4597,0.009481097489783366,0.9991298673047639
1.0,Te0,46,cwt,4597,0.7181312447836546,0.8390254513813357
2.0,Te0,46,cwt,4597,0.989924044458641,0.9493147705025017
3.0,Te0,46,cwt,4597,0.9953716023187706,0.9786817489667174
4.0,Te0,46,cwt,4597,0.997773326227403,0.9943441374809658
5.0,Te0,46,cwt,4597,0.999039990469729,1.0
6.0,Te0,46,cwt,4597,0.9996552525687932,1.0
7.0,Te0,46,cwt,4597,0.9999585340863495,1.0
8.0,Te0,46,cwt,4597,0.999999924413152,1.0
9.0,Te0,46,cwt,4597,0.9999999999068607,1.0
